t[d],dt[d],T[C]
247.3958723,2.487322157,120.1313821
249.8831945,2.487322157,120.1201653
252.3705167,2.487322157,120.1090071
254.8578388,2.487322157,120.0978426
257.345161,2.487322157,120.0867347
259.8324831,2.487322157,120.0756692
262.3198053,2.487322157,120.0646506
264.8071274,2.487322157,120.0536746
267.2944496,2.487322157,120.0427353
269.7817718,2.487322157,120.0318161
272.2690939,2.487322157,120.0209469
274.7564161,2.487322157,120.0101072
277.2437382,2.487322157,119.9993253
279.7310604,2.487322157,119.9885304
282.2183826,2.487322157,119.977784
284.7057047,2.487322157,119.967084
287.1930269,2.487322157,119.9564159
289.680349,2.487322157,119.9457852
292.1676712,2.487322157,119.9351875
294.6549933,2.487322157,119.9246264
297.1423155,2.487322157,119.9140951
299.6296377,2.487322157,119.9035734
302.1169598,2.487322157,119.8930761
304.604282,2.487322157,119.8826125
307.0916041,2.487322157,119.8721952
309.5789263,2.487322157,119.8617877
312.0662484,2.487322157,119.8514211
314.5535706,2.487322157,119.8410862
317.0408928,2.487322157,119.8307762
319.5282149,2.487322157,119.8205086
322.0155371,2.487322157,119.810249
324.5028592,2.487322157,119.8000265
326.9901814,2.487322157,119.7898202
329.4775035,2.487322157,119.7796653
331.9648257,2.487322157,119.7695331
334.4521479,2.487322157,119.7594196
336.93947,2.487322157,119.7493508
339.4267922,2.487322157,119.7393019
341.9141143,2.487322157,119.7292791
344.4014365,2.487322157,119.7192981
346.8887586,2.487322157,119.7093322
349.3760808,2.487322157,119.6993927
351.863403,2.487322157,119.6894817
354.3507251,2.487322157,119.679613
356.8380473,2.487322157,119.6697433
359.3253694,2.487322157,119.6599066
361.8126916,2.487322157,119.6501119
364.3000137,2.487322157,119.6403177
365.0000146,0.700000852,119.6339877
367.4830647,2.483050116,119.6278071
369.9661148,2.483050116,119.6180735
372.4491649,2.483050116,119.6083954
374.9322151,2.483050116,119.5987171
377.4152652,2.483050116,119.5890683
379.8983153,2.483050116,119.5794396
382.3813654,2.483050116,119.5698264
384.8644155,2.483050116,119.5602509
387.3474656,2.483050116,119.5506805
389.8305158,2.483050116,119.5411715
392.3135659,2.483050116,119.5316747
394.796616,2.483050116,119.5221907
397.2796661,2.483050116,119.5127255
399.7627162,2.483050116,119.5032747
402.2457663,2.483050116,119.4938527
404.7288165,2.483050116,119.4844319
407.2118666,2.483050116,119.4750437
409.6949167,2.483050116,119.4656711
412.1779668,2.483050116,119.4563275
414.6610169,2.483050116,119.4469708
417.144067,2.483050116,119.4376887
419.6271172,2.483050116,119.4284192
422.1101673,2.483050116,119.4191608
424.5932174,2.483050116,119.4099379
427.0762675,2.483050116,119.4007193
429.5593176,2.483050116,119.3915173
432.0423677,2.483050116,119.3823326
434.5254178,2.483050116,119.3731783
437.008468,2.483050116,119.3640474
439.4915181,2.483050116,119.3549143
441.9745682,2.483050116,119.3458397
444.4576183,2.483050116,119.3367414
446.9406684,2.483050116,119.3276573
449.4237185,2.483050116,119.3185955
451.9067687,2.483050116,119.3095444
454.3898188,2.483050116,119.3005177
456.8728689,2.483050116,119.2914975
459.355919,2.483050116,119.2824931
461.8389691,2.483050116,119.2735176
464.3220192,2.483050116,119.264556
466.8050694,2.483050116,119.2556147
469.2881195,2.483050116,119.2466664
471.7711696,2.483050116,119.2377984
474.2542197,2.483050116,119.2289175
476.7372698,2.483050116,119.2200468
479.2203199,2.483050116,119.2111858
481.7033701,2.483050116,119.2023342
484.1864202,2.483050116,119.1935063
486.6694703,2.483050116,119.1846837
489.1525204,2.483050116,119.1758492
491.6355705,2.483050116,119.167079
494.1186206,2.483050116,119.1582925
496.6016707,2.483050116,119.149522
499.0847209,2.483050116,119.140788
501.567771,2.483050116,119.1320519
504.0508211,2.483050116,119.1233012
506.5338712,2.483050116,119.1146238
509.0169213,2.483050116,119.1059211
511.4999714,2.483050116,119.0972632
513.9830216,2.483050116,119.0885532
516.4660717,2.483050116,119.0798712
518.9491218,2.483050116,119.0712291
521.4321719,2.483050116,119.0626175
523.915222,2.483050116,119.0540067
526.3982721,2.483050116,119.0454071
528.8813223,2.483050116,119.0367613
531.3643724,2.483050116,119.0282142
533.8474225,2.483050116,119.0196631
536.3304726,2.483050116,119.0111073
538.8135227,2.483050116,119.002552
541.2965728,2.483050116,118.9940093
543.779623,2.483050116,118.9854801
546.2626731,2.483050116,118.9769626
548.7457232,2.483050116,118.9684575
551.2287733,2.483050116,118.9599643
553.7118234,2.483050116,118.9514824
556.1948735,2.483050116,118.9430117
558.6779236,2.483050116,118.9345516
561.1609738,2.483050116,118.9261019
563.6440239,2.483050116,118.917662
566.127074,2.483050116,118.9092316
568.6101241,2.483050116,118.9008102
571.0931742,2.483050116,118.8923974
573.5762243,2.483050116,118.883993
576.0592745,2.483050116,118.8755972
578.5423246,2.483050116,118.8672101
581.0253747,2.483050116,118.8588321
583.5084248,2.483050116,118.8504636
585.9914749,2.483050116,118.842105
588.474525,2.483050116,118.8337664
590.9575752,2.483050116,118.8254314
593.4406253,2.483050116,118.817106
595.9236754,2.483050116,118.8087898
598.4067255,2.483050116,118.8004833
600.8897756,2.483050116,118.7921867
603.3728257,2.483050116,118.7839
605.8558759,2.483050116,118.7756235
608.338926,2.483050116,118.7673572
610.8219761,2.483050116,118.7591011
613.3050262,2.483050116,118.7508554
615.7880763,2.483050116,118.7426199
618.2711264,2.483050116,118.7343947
620.7541765,2.483050116,118.7261798
623.2372267,2.483050116,118.7179752
625.7202768,2.483050116,118.7097808
628.2033269,2.483050116,118.7015966
630.686377,2.483050116,118.6934227
633.1694271,2.483050116,118.6852589
635.6524772,2.483050116,118.6771052
638.1355274,2.483050116,118.6689616
640.6185775,2.483050116,118.660828
643.1016276,2.483050116,118.6527045
645.5846777,2.483050116,118.6445908
648.0677278,2.483050116,118.6364871
650.5507779,2.483050116,118.6283933
653.0338281,2.483050116,118.6203093
655.5168782,2.483050116,118.6122351
657.9999283,2.483050116,118.6041706
660.4829784,2.483050116,118.5961159
662.9660285,2.483050116,118.5880709
665.4490786,2.483050116,118.5800356
667.9321288,2.483050116,118.57201
670.4151789,2.483050116,118.5639941
672.898229,2.483050116,118.5559878
675.3812791,2.483050116,118.547991
677.8643292,2.483050116,118.5400037
680.3473793,2.483050116,118.5320256
682.8304294,2.483050116,118.5240564
685.3134796,2.483050116,118.5160958
687.7965297,2.483050116,118.5081433
690.2795798,2.483050116,118.5001985
692.7626299,2.483050116,118.4922612
695.24568,2.483050116,118.4843319
697.7287301,2.483050116,118.4764094
700.2117803,2.483050116,118.4684929
702.6948304,2.483050116,118.4605833
705.1778805,2.483050116,118.4526798
707.6609306,2.483050116,118.4447824
710.1439807,2.483050116,118.4368905
712.6270308,2.483050116,118.429004
715.110081,2.483050116,118.4211228
717.5931311,2.483050116,118.413247
720.0761812,2.483050116,118.4053763
722.5592313,2.483050116,118.3975108
725.0422814,2.483050116,118.3896501
727.5253315,2.483050116,118.3817941
730.0000146,2.474683064,118.3739554
732.4841643,2.484149714,118.3661199
734.968314,2.484149714,118.3582737
737.4524637,2.484149714,118.350432
739.9366135,2.484149714,118.342595
742.4207632,2.484149714,118.334763
744.9049129,2.484149714,118.3269363
747.3890626,2.484149714,118.3191151
749.8732123,2.484149714,118.3112993
752.357362,2.484149714,118.3034889
754.8415117,2.484149714,118.2956839
757.3256615,2.484149714,118.287884
759.8098112,2.484149714,118.2800891
762.2939609,2.484149714,118.2722991
764.7781106,2.484149714,118.264514
767.2622603,2.484149714,118.2567336
769.74641,2.484149714,118.2489579
772.2305597,2.484149714,118.2411869
774.7147095,2.484149714,118.2334206
777.1988592,2.484149714,118.225659
779.6830089,2.484149714,118.2179021
782.1671586,2.484149714,118.2101498
784.6513083,2.484149714,118.2024022
787.135458,2.484149714,118.1946593
789.6196077,2.484149714,118.1869209
792.1037574,2.484149714,118.179187
794.5879072,2.484149714,118.1714577
797.0720569,2.484149714,118.1637407
799.5562066,2.484149714,118.1560753
802.0403563,2.484149714,118.1484078
804.524506,2.484149714,118.1407496
807.0086557,2.484149714,118.1330941
809.4928054,2.484149714,118.125443
811.9769552,2.484149714,118.1177944
814.4611049,2.484149714,118.1101504
816.9452546,2.484149714,118.1025081
819.4294043,2.484149714,118.0948732
821.913554,2.484149714,118.0872414
824.3977037,2.484149714,118.0796258
826.8818534,2.484149714,118.0719784
829.3660032,2.484149714,118.0643191
831.8501529,2.484149714,118.0566718
834.3343026,2.484149714,118.0489431
836.8184523,2.484149714,118.041238
839.302602,2.484149714,118.0335607
841.7867517,2.484149714,118.0258914
844.2709014,2.484149714,118.0182336
846.7550512,2.484149714,118.0105785
849.2392009,2.484149714,118.0029285
851.7233506,2.484149714,117.9952843
854.2075003,2.484149714,117.9876459
856.69165,2.484149714,117.9800133
859.1757997,2.484149714,117.9723863
861.6599494,2.484149714,117.9647648
864.1440992,2.484149714,117.9571486
866.6282489,2.484149714,117.9495377
869.1123986,2.484149714,117.9419317
871.5965483,2.484149714,117.9343307
874.080698,2.484149714,117.9267345
876.5648477,2.484149714,117.919143
879.0489974,2.484149714,117.9115559
881.5331472,2.484149714,117.9039733
884.0172969,2.484149714,117.896395
886.5014466,2.484149714,117.8888208
888.9855963,2.484149714,117.8812507
891.469746,2.484149714,117.8736847
893.9538957,2.484149714,117.8661225
896.4380454,2.484149714,117.8585641
898.9221952,2.484149714,117.8510095
901.4063449,2.484149714,117.8434585
903.8904946,2.484149714,117.835911
906.3746443,2.484149714,117.8283671
908.858794,2.484149714,117.8208266
911.3429437,2.484149714,117.8132895
913.8270934,2.484149714,117.8057556
916.3112431,2.484149714,117.798225
918.7953929,2.484149714,117.7906976
921.2795426,2.484149714,117.7831733
923.7636923,2.484149714,117.7756521
926.247842,2.484149714,117.7681339
928.7319917,2.484149714,117.7606188
931.2161414,2.484149714,117.7531065
933.7002911,2.484149714,117.7455972
936.1844409,2.484149714,117.7380907
938.6685906,2.484149714,117.730587
941.1527403,2.484149714,117.7230861
943.63689,2.484149714,117.7155879
946.1210397,2.484149714,117.7080925
948.6051894,2.484149714,117.7005997
951.0893391,2.484149714,117.6931095
953.5734889,2.484149714,117.685622
956.0576386,2.484149714,117.678137
958.5417883,2.484149714,117.6706546
961.025938,2.484149714,117.6631747
963.5100877,2.484149714,117.6556972
965.9942374,2.484149714,117.6482222
968.4783871,2.484149714,117.6407497
970.9625369,2.484149714,117.6332796
973.4466866,2.484149714,117.6258118
975.9308363,2.484149714,117.6183464
978.414986,2.484149714,117.6108833
980.8991357,2.484149714,117.6034225
983.3832854,2.484149714,117.595964
985.8674351,2.484149714,117.5885077
988.3515849,2.484149714,117.5810537
990.8357346,2.484149714,117.5736018
993.3198843,2.484149714,117.5661522
995.804034,2.484149714,117.5587047
998.2881837,2.484149714,117.5512593
1000.772333,2.484149714,117.5438161
1003.256483,2.484149714,117.5363749
1005.740633,2.484149714,117.5289358
1008.224783,2.484149714,117.5214988
1010.708932,2.484149714,117.5140638
1013.193082,2.484149714,117.5066308
1015.677232,2.484149714,117.4991999
1018.161381,2.484149714,117.4917709
1020.645531,2.484149714,117.4843439
1023.129681,2.484149714,117.4769188
1025.613831,2.484149714,117.4694957
1028.09798,2.484149714,117.4620746
1030.58213,2.484149714,117.4546554
1033.06628,2.484149714,117.4472383
1035.550429,2.484149714,117.4398231
1038.034579,2.484149714,117.4323916
1040.518729,2.484149714,117.4249768
1043.002879,2.484149714,117.4175844
1045.487028,2.484149714,117.4101975
1047.971178,2.484149714,117.4028132
1050.455328,2.484149714,117.3954274
1052.939477,2.484149714,117.3880592
1055.423627,2.484149714,117.3806662
1057.907777,2.484149714,117.3732955
1060.391927,2.484149714,117.3659288
1062.876076,2.484149714,117.3585816
1065.360226,2.484149714,117.3512475
1067.844376,2.484149714,117.3439243
1070.328525,2.484149714,117.3366141
1072.812675,2.484149714,117.3293153
1075.296825,2.484149714,117.3220267
1077.780975,2.484149714,117.3147467
1080.265124,2.484149714,117.3074737
1082.749274,2.484149714,117.3002062
1085.233424,2.484149714,117.2929427
1087.717573,2.484149714,117.2856822
1090.201723,2.484149714,117.278445
1092.685873,2.484149714,117.2712242
1095.170023,2.484149714,117.2640034
1097.654172,2.484149714,117.2567798
1100.138322,2.484149714,117.2495496
1102.622472,2.484149714,117.2423114
1105.106621,2.484149714,117.2350644
1107.590771,2.484149714,117.227819
1110.074921,2.484149714,117.2205787
1112.559071,2.484149714,117.2133276
1115.04322,2.484149714,117.2060685
1117.52737,2.484149714,117.1988006
1120.01152,2.484149714,117.191525
1122.495669,2.484149714,117.1842415
1124.979819,2.484149714,117.1769505
1127.463969,2.484149714,117.1696661
1129.948119,2.484149714,117.1623735
1132.432268,2.484149714,117.1550734
1134.916418,2.484149714,117.1477668
1137.400568,2.484149714,117.1404541
1139.884717,2.484149714,117.1331362
1142.368867,2.484149714,117.1258135
1144.853017,2.484149714,117.1184869
1147.337167,2.484149714,117.111157
1149.821316,2.484149714,117.1038243
1152.305466,2.484149714,117.0964894
1154.789616,2.484149714,117.0891528
1157.273765,2.484149714,117.0818149
1159.757915,2.484149714,117.0744763
1162.242065,2.484149714,117.0671372
1164.726215,2.484149714,117.0597981
1167.210364,2.484149714,117.0524593
1169.694514,2.484149714,117.0451211
1172.178664,2.484149714,117.0377837
1174.662813,2.484149714,117.0304474
1177.146963,2.484149714,117.0231125
1179.631113,2.484149714,117.0157791
1182.115263,2.484149714,117.0084474
1184.599412,2.484149714,117.0011176
1187.083562,2.484149714,116.9937898
1189.567712,2.484149714,116.9864641
1192.051861,2.484149714,116.9791407
1194.536011,2.484149714,116.9718196
1197.020161,2.484149714,116.9645009
1199.504311,2.484149714,116.9571847
1201.98846,2.484149714,116.949871
1204.47261,2.484149714,116.94256
1206.95676,2.484149714,116.9352515
1209.440909,2.484149714,116.9279458
1211.925059,2.484149714,116.9206427
1214.409209,2.484149714,116.9133423
1216.893359,2.484149714,116.9060447
1219.377508,2.484149714,116.8987499
1221.861658,2.484149714,116.8914577
1224.345808,2.484149714,116.8841684
1226.829957,2.484149714,116.8768818
1229.314107,2.484149714,116.869598
1231.798257,2.484149714,116.862317
1234.282407,2.484149714,116.8550388
1236.766556,2.484149714,116.8477633
1239.250706,2.484149714,116.8404906
1241.734856,2.484149714,116.8332207
1244.219005,2.484149714,116.8259535
1246.703155,2.484149714,116.8186891
1249.187305,2.484149714,116.8114274
1251.671455,2.484149714,116.8041685
1254.155604,2.484149714,116.7969123
1256.639754,2.484149714,116.7896588
1259.123904,2.484149714,116.782408
1261.608053,2.484149714,116.77516
1264.092203,2.484149714,116.7679146
1266.576353,2.484149714,116.7606719
1269.060503,2.484149714,116.7534319
1271.544652,2.484149714,116.7461946
1274.028802,2.484149714,116.7389599
1276.512952,2.484149714,116.7317278
1278.997101,2.484149714,116.7244984
1281.481251,2.484149714,116.7172716
1283.965401,2.484149714,116.7100474
1286.449551,2.484149714,116.7028258
1288.9337,2.484149714,116.6956067
1291.41785,2.484149714,116.6883903
1293.902,2.484149714,116.6811764
1296.386149,2.484149714,116.673965
1298.870299,2.484149714,116.6667562
1301.354449,2.484149714,116.6595499
1303.838599,2.484149714,116.6523461
1306.322748,2.484149714,116.6451448
1308.806898,2.484149714,116.6379459
1311.291048,2.484149714,116.6307496
1313.775197,2.484149714,116.6235556
1316.259347,2.484149714,116.6163641
1318.743497,2.484149714,116.6091751
1321.227647,2.484149714,116.6019884
1323.711796,2.484149714,116.5948042
1326.195946,2.484149714,116.5876223
1328.680096,2.484149714,116.5804428
1331.164245,2.484149714,116.5732656
1333.648395,2.484149714,116.5660908
1336.132545,2.484149714,116.5589183
1338.616695,2.484149714,116.5517482
1341.100844,2.484149714,116.5445803
1343.584994,2.484149714,116.5374148
1346.069144,2.484149714,116.5302515
1348.553293,2.484149714,116.5230904
1351.037443,2.484149714,116.5159312
1353.521593,2.484149714,116.5087751
1356.005743,2.484149714,116.5016215
1358.489892,2.484149714,116.4944705
1360.974042,2.484149714,116.4873221
1363.458192,2.484149714,116.4801763
1365.942341,2.484149714,116.473033
1368.426491,2.484149714,116.465892
1370.910641,2.484149714,116.4587534
1373.394791,2.484149714,116.4516172
1375.87894,2.484149714,116.4444832
1378.36309,2.484149714,116.4373514
1380.84724,2.484149714,116.4302218
1383.331389,2.484149714,116.4230944
1385.815539,2.484149714,116.4159691
1388.299689,2.484149714,116.4088458
1390.783839,2.484149714,116.4017247
1393.267988,2.484149714,116.3946055
1395.752138,2.484149714,116.3874883
1398.236288,2.484149714,116.3803732
1400.720437,2.484149714,116.3732599
1403.204587,2.484149714,116.3661486
1405.688737,2.484149714,116.3590392
1408.172887,2.484149714,116.3519318
1410.657036,2.484149714,116.3448261
1413.141186,2.484149714,116.3377224
1415.625336,2.484149714,116.3306205
1418.109485,2.484149714,116.3235204
1420.593635,2.484149714,116.3164221
1423.077785,2.484149714,116.3093256
1425.561935,2.484149714,116.3022309
1428.046084,2.484149714,116.295138
1430.530234,2.484149714,116.2880469
1433.014384,2.484149714,116.2809575
