%       "time"           "x"            "y"           "z"      "uindex"    "i"  "j"  "k"          "head"           "temp"           "pres"    "satn"           "epot"             "vx"             "vy"             "vz"          "bhpr"            "kz" 
%
  0.000000000E+00  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.19989339E+04   0.85597888E+02   0.12572297E+02   0.00000000E+00   0.00000000E+00   0.80528383E-09  -0.82596443E-09   0.76756337E-08   0.12359574E+02   0.58500000E-13
%
  0.250000000E+00  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.19491987E+04   0.84665021E+02   0.11735527E+02   0.00000000E+00   0.00000000E+00   0.10470344E-06  -0.14567718E-07   0.57135474E-08   0.11520584E+02   0.58500000E-13
%
  0.500000000E+00  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.19485625E+04   0.84900348E+02   0.11727648E+02   0.00000000E+00   0.00000000E+00   0.15759202E-06  -0.17762230E-07   0.55215317E-08   0.11513306E+02   0.58500000E-13
%
  0.750000000E+00  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.19484655E+04   0.85014370E+02   0.11725837E+02   0.00000000E+00   0.00000000E+00   0.19165930E-06  -0.19657037E-07   0.54001680E-08   0.11511785E+02   0.58500000E-13
%
  0.100000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.19484375E+04   0.85083626E+02   0.11725031E+02   0.00000000E+00   0.00000000E+00   0.21669269E-06  -0.21029894E-07   0.53393761E-08   0.11511154E+02   0.58500000E-13
%
  0.125000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.19484275E+04   0.85131153E+02   0.11724565E+02   0.00000000E+00   0.00000000E+00   0.23628197E-06  -0.22110023E-07   0.53164017E-08   0.11510808E+02   0.58500000E-13
%
  0.150000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.19484241E+04   0.85166082E+02   0.11724260E+02   0.00000000E+00   0.00000000E+00   0.25225733E-06  -0.22998096E-07   0.53146959E-08   0.11510592E+02   0.58500000E-13
%
  0.175000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.19484237E+04   0.85192931E+02   0.11724046E+02   0.00000000E+00   0.00000000E+00   0.26568032E-06  -0.23749625E-07   0.53241535E-08   0.11510446E+02   0.58500000E-13
%
  0.200000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.19484248E+04   0.85214270E+02   0.11723890E+02   0.00000000E+00   0.00000000E+00   0.27721738E-06  -0.24398986E-07   0.53390760E-08   0.11510344E+02   0.58500000E-13
%
  0.225000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.19484268E+04   0.85231675E+02   0.11723773E+02   0.00000000E+00   0.00000000E+00   0.28731139E-06  -0.24969250E-07   0.53564222E-08   0.11510271E+02   0.58500000E-13
%
