"time","x","y","z","uindex","i","j","k","head","temp","pres","satn","epot","vx","vy","vz","bhpr","kz"
0.500000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22325904E+04,0.46614733E+02,0.11336411E+02,0.00000000E+00,0.00000000E+00,0.30563515E-04,0.58443167E-07,0.14492438E-07,0.00000000E+00,0.75000000E-13

0.525000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22325499E+04,0.46584989E+02,0.11336160E+02,0.00000000E+00,0.00000000E+00,0.30559077E-04,0.59159681E-07,0.14666448E-07,0.00000000E+00,0.75000000E-13

0.550000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22325111E+04,0.46555693E+02,0.11335924E+02,0.00000000E+00,0.00000000E+00,0.30554743E-04,0.59849258E-07,0.14833085E-07,0.00000000E+00,0.75000000E-13

0.575000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22324738E+04,0.46526826E+02,0.11335700E+02,0.00000000E+00,0.00000000E+00,0.30550508E-04,0.60513642E-07,0.14992916E-07,0.00000000E+00,0.75000000E-13

0.600000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22324380E+04,0.46498367E+02,0.11335488E+02,0.00000000E+00,0.00000000E+00,0.30546365E-04,0.61154383E-07,0.15146451E-07,0.00000000E+00,0.75000000E-13

0.625000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22324034E+04,0.46470300E+02,0.11335286E+02,0.00000000E+00,0.00000000E+00,0.30542310E-04,0.61772878E-07,0.15294152E-07,0.00000000E+00,0.75000000E-13

0.650000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22323699E+04,0.46442608E+02,0.11335093E+02,0.00000000E+00,0.00000000E+00,0.30538339E-04,0.62370382E-07,0.15436438E-07,0.00000000E+00,0.75000000E-13

0.675000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22323374E+04,0.46415275E+02,0.11334909E+02,0.00000000E+00,0.00000000E+00,0.30534449E-04,0.62948040E-07,0.15573688E-07,0.00000000E+00,0.75000000E-13

0.700000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22323059E+04,0.46388289E+02,0.11334731E+02,0.00000000E+00,0.00000000E+00,0.30530635E-04,0.63506897E-07,0.15706247E-07,0.00000000E+00,0.75000000E-13

0.725000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22322752E+04,0.46361635E+02,0.11334561E+02,0.00000000E+00,0.00000000E+00,0.30526893E-04,0.64047909E-07,0.15834430E-07,0.00000000E+00,0.75000000E-13

0.750000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22322453E+04,0.46335301E+02,0.11334396E+02,0.00000000E+00,0.00000000E+00,0.30523222E-04,0.64571954E-07,0.15958527E-07,0.00000000E+00,0.75000000E-13

0.775000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22322162E+04,0.46309277E+02,0.11334237E+02,0.00000000E+00,0.00000000E+00,0.30519617E-04,0.65079848E-07,0.16078800E-07,0.00000000E+00,0.75000000E-13

0.800000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22321878E+04,0.46283551E+02,0.11334084E+02,0.00000000E+00,0.00000000E+00,0.30516076E-04,0.65572337E-07,0.16195493E-07,0.00000000E+00,0.75000000E-13

0.825000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22321600E+04,0.46258113E+02,0.11333935E+02,0.00000000E+00,0.00000000E+00,0.30512596E-04,0.66050138E-07,0.16308829E-07,0.00000000E+00,0.75000000E-13

0.850000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22321328E+04,0.46232954E+02,0.11333791E+02,0.00000000E+00,0.00000000E+00,0.30509175E-04,0.66513879E-07,0.16419014E-07,0.00000000E+00,0.75000000E-13

0.875000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22321061E+04,0.46208065E+02,0.11333650E+02,0.00000000E+00,0.00000000E+00,0.30505811E-04,0.66964193E-07,0.16526240E-07,0.00000000E+00,0.75000000E-13

0.900000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22320800E+04,0.46183436E+02,0.11333514E+02,0.00000000E+00,0.00000000E+00,0.30502501E-04,0.67401641E-07,0.16630682E-07,0.00000000E+00,0.75000000E-13

0.925000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22320544E+04,0.46159060E+02,0.11333381E+02,0.00000000E+00,0.00000000E+00,0.30499244E-04,0.67826774E-07,0.16732505E-07,0.00000000E+00,0.75000000E-13

0.950000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22320292E+04,0.46134930E+02,0.11333251E+02,0.00000000E+00,0.00000000E+00,0.30496037E-04,0.68240090E-07,0.16831860E-07,0.00000000E+00,0.75000000E-13

0.975000000E+01,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22320045E+04,0.46111038E+02,0.11333125E+02,0.00000000E+00,0.00000000E+00,0.30492878E-04,0.68642069E-07,0.16928890E-07,0.00000000E+00,0.75000000E-13

0.100000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22319803E+04,0.46087377E+02,0.11333001E+02,0.00000000E+00,0.00000000E+00,0.30489767E-04,0.69033171E-07,0.17023724E-07,0.00000000E+00,0.75000000E-13

0.102500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22319564E+04,0.46063940E+02,0.11332881E+02,0.00000000E+00,0.00000000E+00,0.30486700E-04,0.69413821E-07,0.17116486E-07,0.00000000E+00,0.75000000E-13

0.105000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22319329E+04,0.46040722E+02,0.11332763E+02,0.00000000E+00,0.00000000E+00,0.30483677E-04,0.69784429E-07,0.17207291E-07,0.00000000E+00,0.75000000E-13

0.107500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22319097E+04,0.46017716E+02,0.11332647E+02,0.00000000E+00,0.00000000E+00,0.30480697E-04,0.70145381E-07,0.17296243E-07,0.00000000E+00,0.75000000E-13

0.110000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22318869E+04,0.45994915E+02,0.11332534E+02,0.00000000E+00,0.00000000E+00,0.30477757E-04,0.70497042E-07,0.17383443E-07,0.00000000E+00,0.75000000E-13

0.112500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22318645E+04,0.45972316E+02,0.11332422E+02,0.00000000E+00,0.00000000E+00,0.30474857E-04,0.70839768E-07,0.17468983E-07,0.00000000E+00,0.75000000E-13

0.115000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22318423E+04,0.45949912E+02,0.11332313E+02,0.00000000E+00,0.00000000E+00,0.30471995E-04,0.71173892E-07,0.17552950E-07,0.00000000E+00,0.75000000E-13

0.117500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22318205E+04,0.45927699E+02,0.11332206E+02,0.00000000E+00,0.00000000E+00,0.30469170E-04,0.71499733E-07,0.17635424E-07,0.00000000E+00,0.75000000E-13

0.120000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22317989E+04,0.45905671E+02,0.11332101E+02,0.00000000E+00,0.00000000E+00,0.30466380E-04,0.71817596E-07,0.17716481E-07,0.00000000E+00,0.75000000E-13

0.122500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22317776E+04,0.45883825E+02,0.11331997E+02,0.00000000E+00,0.00000000E+00,0.30463626E-04,0.72127780E-07,0.17796191E-07,0.00000000E+00,0.75000000E-13

0.125000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22317565E+04,0.45862154E+02,0.11331895E+02,0.00000000E+00,0.00000000E+00,0.30460905E-04,0.72430556E-07,0.17874621E-07,0.00000000E+00,0.75000000E-13

0.127500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22317357E+04,0.45840655E+02,0.11331795E+02,0.00000000E+00,0.00000000E+00,0.30458217E-04,0.72726194E-07,0.17951833E-07,0.00000000E+00,0.75000000E-13

0.130000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22317152E+04,0.45819325E+02,0.11331696E+02,0.00000000E+00,0.00000000E+00,0.30455561E-04,0.73014952E-07,0.18027883E-07,0.00000000E+00,0.75000000E-13

0.132500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22316949E+04,0.45798158E+02,0.11331599E+02,0.00000000E+00,0.00000000E+00,0.30452935E-04,0.73297073E-07,0.18102825E-07,0.00000000E+00,0.75000000E-13

0.135000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22316748E+04,0.45777151E+02,0.11331503E+02,0.00000000E+00,0.00000000E+00,0.30450340E-04,0.73572796E-07,0.18176711E-07,0.00000000E+00,0.75000000E-13

0.137500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22316549E+04,0.45756300E+02,0.11331408E+02,0.00000000E+00,0.00000000E+00,0.30447773E-04,0.73842342E-07,0.18249588E-07,0.00000000E+00,0.75000000E-13

0.140000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22316352E+04,0.45735602E+02,0.11331314E+02,0.00000000E+00,0.00000000E+00,0.30445235E-04,0.74105948E-07,0.18321498E-07,0.00000000E+00,0.75000000E-13

0.142500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22316157E+04,0.45715053E+02,0.11331222E+02,0.00000000E+00,0.00000000E+00,0.30442724E-04,0.74363776E-07,0.18392485E-07,0.00000000E+00,0.75000000E-13

0.145000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22315964E+04,0.45694650E+02,0.11331131E+02,0.00000000E+00,0.00000000E+00,0.30440241E-04,0.74616072E-07,0.18462586E-07,0.00000000E+00,0.75000000E-13

0.147500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22315773E+04,0.45674389E+02,0.11331040E+02,0.00000000E+00,0.00000000E+00,0.30437783E-04,0.74863013E-07,0.18531838E-07,0.00000000E+00,0.75000000E-13

0.150000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22315584E+04,0.45654267E+02,0.11330951E+02,0.00000000E+00,0.00000000E+00,0.30435350E-04,0.75104780E-07,0.18600275E-07,0.00000000E+00,0.75000000E-13

