20181214,-0.3
20181215,-0.9
20181216,1.7
20181217,5.2
20181218,5.9
20181219,7.4
20181220,6.8
20181221,9.9
20181222,8.8
20181223,8.2
20181224,4.0
20181225,1.4
20181226,0.9
20181227,4.2
20181228,1.4
20181229,4.3
20181230,6.2
20181231,7.6
