%       "time"           "x"            "y"           "z"      "uindex"    "i"  "j"  "k"          "head"           "temp"           "pres"    "satn"           "epot"             "vx"             "vy"             "vz"          "bhpr"            "kz" 
%
  0.000000000E+00  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.19989339E+04   0.85597888E+02   0.12572297E+02   0.00000000E+00   0.00000000E+00   0.80528383E-09  -0.82596443E-09   0.76756337E-08   0.12146850E+02   0.58500000E-13
%
  0.250000000E+00  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.18989085E+04   0.84115727E+02   0.11261630E+02   0.00000000E+00   0.00000000E+00   0.28187479E-06  -0.33357388E-07   0.36635166E-08   0.10829078E+02   0.58500000E-13
%
  0.500000000E+00  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.18977853E+04   0.84523297E+02   0.11247919E+02   0.00000000E+00   0.00000000E+00   0.40872587E-06  -0.40779193E-07   0.32276745E-08   0.10817469E+02   0.58500000E-13
%
  0.750000000E+00  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.18976608E+04   0.84709369E+02   0.11245349E+02   0.00000000E+00   0.00000000E+00   0.48755833E-06  -0.44920526E-07   0.29592841E-08   0.10815852E+02   0.58500000E-13
%
  0.100000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.18976425E+04   0.84817154E+02   0.11244371E+02   0.00000000E+00   0.00000000E+00   0.54343512E-06  -0.47773235E-07   0.28267860E-08   0.10815423E+02   0.58500000E-13
%
  0.125000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.18976454E+04   0.84888199E+02   0.11243868E+02   0.00000000E+00   0.00000000E+00   0.58589246E-06  -0.49928169E-07   0.27797470E-08   0.10815282E+02   0.58500000E-13
%
  0.150000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.18976539E+04   0.84938974E+02   0.11243569E+02   0.00000000E+00   0.00000000E+00   0.61974587E-06  -0.51640595E-07   0.27828235E-08   0.10815242E+02   0.58500000E-13
%
  0.175000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.18976640E+04   0.84977396E+02   0.11243379E+02   0.00000000E+00   0.00000000E+00   0.64769051E-06  -0.53045349E-07   0.28144116E-08   0.10815246E+02   0.58500000E-13
%
  0.200000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.18976745E+04   0.85007653E+02   0.11243252E+02   0.00000000E+00   0.00000000E+00   0.67134855E-06  -0.54223173E-07   0.28620356E-08   0.10815273E+02   0.58500000E-13
%
  0.225000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.18976847E+04   0.85032187E+02   0.11243165E+02   0.00000000E+00   0.00000000E+00   0.69175585E-06  -0.55226236E-07   0.29188095E-08   0.10815311E+02   0.58500000E-13
%
  0.250000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.18976944E+04   0.85052513E+02   0.11243106E+02   0.00000000E+00   0.00000000E+00   0.70960812E-06  -0.56090486E-07   0.29810543E-08   0.10815355E+02   0.58500000E-13
%
  0.275000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.18977035E+04   0.85069623E+02   0.11243064E+02   0.00000000E+00   0.00000000E+00   0.72539268E-06  -0.56841281E-07   0.30468539E-08   0.10815399E+02   0.58500000E-13
%
  0.300000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.18977118E+04   0.85084197E+02   0.11243034E+02   0.00000000E+00   0.00000000E+00   0.73946381E-06  -0.57497487E-07   0.31152335E-08   0.10815444E+02   0.58500000E-13
%
  0.325000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.18977194E+04   0.85096722E+02   0.11243013E+02   0.00000000E+00   0.00000000E+00   0.75208704E-06  -0.58073360E-07   0.31857013E-08   0.10815486E+02   0.58500000E-13
%
  0.350000000E+01  0.240250E+04   0.142500E+04   0.725000E+03         2    65    30    15  0.18977263E+04   0.85107551E+02   0.11242997E+02   0.00000000E+00   0.00000000E+00   0.76346688E-06  -0.58579984E-07   0.32580185E-08   0.10815524E+02   0.58500000E-13
%
