time,temp,bhpr         
%
  0.000000000E+00,0.63678366E+02,0.14110123E+02
%
  0.250000000E+00,0.62301702E+02,0.12870656E+02
%
  0.500000000E+00,0.62601598E+02,0.12843226E+02
%
  0.750000000E+00,0.62770453E+02,0.12837568E+02
%
  0.100000000E+01,0.62866966E+02,0.12834535E+02
%
  0.125000000E+01,0.62926657E+02,0.12832249E+02
%
  0.150000000E+01,0.62965649E+02,0.12830359E+02
%
  0.175000000E+01,0.62991966E+02,0.12828753E+02
%
  0.200000000E+01,0.63010003E+02,0.12827375E+02
%
  0.225000000E+01,0.63022328E+02,0.12826185E+02
%
  0.250000000E+01,0.63030543E+02,0.12825151E+02
%
  0.275000000E+01,0.63035692E+02,0.12824248E+02
%
  0.300000000E+01,0.63038484E+02,0.12823454E+02
%
  0.325000000E+01,0.63039416E+02,0.12822751E+02
%
  0.350000000E+01,0.63038844E+02,0.12822123E+02
%
  0.375000000E+01,0.63037033E+02,0.12821558E+02
%
  0.400000000E+01,0.63034182E+02,0.12821044E+02
%
  0.425000000E+01,0.63030445E+02,0.12820573E+02
%
  0.450000000E+01,0.63025941E+02,0.12820137E+02
%
  0.475000000E+01,0.63020767E+02,0.12819730E+02
%
  0.500000000E+01,0.63015002E+02,0.12819347E+02
%
  0.525000000E+01,0.63008708E+02,0.12818983E+02
%
  0.550000000E+01,0.63001939E+02,0.12818635E+02
%
  0.575000000E+01,0.62994739E+02,0.12818299E+02
%
  0.600000000E+01,0.62987146E+02,0.12817974E+02
%
  0.625000000E+01,0.62979192E+02,0.12817657E+02
%
  0.650000000E+01,0.62970904E+02,0.12817346E+02
%
  0.675000000E+01,0.62962306E+02,0.12817040E+02
%
  0.700000000E+01,0.62953416E+02,0.12816737E+02
%
  0.725000000E+01,0.62944253E+02,0.12816437E+02
%
  0.750000000E+01,0.62934830E+02,0.12816138E+02
%
  0.775000000E+01,0.62925159E+02,0.12815840E+02
%
  0.800000000E+01,0.62915248E+02,0.12815543E+02
%
  0.825000000E+01,0.62905104E+02,0.12815244E+02
%
  0.850000000E+01,0.62894731E+02,0.12814945E+02
%
  0.875000000E+01,0.62884132E+02,0.12814644E+02
%
  0.900000000E+01,0.62873307E+02,0.12814341E+02
%
  0.925000000E+01,0.62862253E+02,0.12814035E+02
%
  0.950000000E+01,0.62850965E+02,0.12813726E+02
%
  0.975000000E+01,0.62839438E+02,0.12813414E+02
%
  0.100000000E+02,0.62827662E+02,0.12813097E+02
%
  0.102500000E+02,0.62815628E+02,0.12812776E+02
%
  0.105000000E+02,0.62803322E+02,0.12812450E+02
%
  0.107500000E+02,0.62790731E+02,0.12812119E+02
%
  0.110000000E+02,0.62777838E+02,0.12811782E+02
%
  0.112500000E+02,0.62764627E+02,0.12811438E+02
%
  0.115000000E+02,0.62751078E+02,0.12811087E+02
%
  0.117500000E+02,0.62737174E+02,0.12810728E+02
%
  0.120000000E+02,0.62722893E+02,0.12810362E+02
%
  0.122500000E+02,0.62708215E+02,0.12809987E+02
%
  0.125000000E+02,0.62693119E+02,0.12809603E+02
%
  0.127500000E+02,0.62677585E+02,0.12809209E+02
%
  0.130000000E+02,0.62661591E+02,0.12808805E+02
%
  0.132500000E+02,0.62645119E+02,0.12808390E+02
%
  0.135000000E+02,0.62628149E+02,0.12807964E+02
%
  0.137500000E+02,0.62610663E+02,0.12807527E+02
%
  0.140000000E+02,0.62592645E+02,0.12807078E+02
%
  0.142500000E+02,0.62574079E+02,0.12806616E+02
%
  0.145000000E+02,0.62554951E+02,0.12806143E+02
%
  0.147500000E+02,0.62535250E+02,0.12805656E+02
%
  0.150000000E+02,0.62514966E+02,0.12805156E+02
%
  0.152500000E+02,0.62494091E+02,0.12804642E+02
%
  0.155000000E+02,0.62472618E+02,0.12804115E+02
%
  0.157500000E+02,0.62450544E+02,0.12803575E+02
%
  0.160000000E+02,0.62427865E+02,0.12803021E+02
%
  0.162500000E+02,0.62404583E+02,0.12802453E+02
%
  0.165000000E+02,0.62380699E+02,0.12801871E+02
%
  0.167500000E+02,0.62356216E+02,0.12801275E+02
%
  0.170000000E+02,0.62331138E+02,0.12800666E+02
%
  0.172500000E+02,0.62305475E+02,0.12800043E+02
%
  0.175000000E+02,0.62279232E+02,0.12799407E+02
%
  0.177500000E+02,0.62252420E+02,0.12798758E+02
%
  0.180000000E+02,0.62225051E+02,0.12798095E+02
%
  0.182500000E+02,0.62197135E+02,0.12797420E+02
%
  0.185000000E+02,0.62168685E+02,0.12796732E+02
%
  0.187500000E+02,0.62139716E+02,0.12796031E+02
%
  0.190000000E+02,0.62110242E+02,0.12795318E+02
%
  0.192500000E+02,0.62080278E+02,0.12794594E+02
%
  0.195000000E+02,0.62049838E+02,0.12793858E+02
%
  0.197500000E+02,0.62018939E+02,0.12793111E+02
%
  0.200000000E+02,0.61987598E+02,0.12792352E+02
%
  0.202500000E+02,0.61955828E+02,0.12791583E+02
%
  0.205000000E+02,0.61923648E+02,0.12790804E+02
%
  0.207500000E+02,0.61891073E+02,0.12790015E+02
%
  0.210000000E+02,0.61858118E+02,0.12789216E+02
%
  0.212500000E+02,0.61824799E+02,0.12788407E+02
%
  0.215000000E+02,0.61791132E+02,0.12787590E+02
%
  0.217500000E+02,0.61757132E+02,0.12786763E+02
%
  0.220000000E+02,0.61722813E+02,0.12785928E+02
%
  0.222500000E+02,0.61688190E+02,0.12785085E+02
%
  0.225000000E+02,0.61653276E+02,0.12784234E+02
%
  0.227500000E+02,0.61618084E+02,0.12783375E+02
%
  0.230000000E+02,0.61582629E+02,0.12782509E+02
%
  0.232500000E+02,0.61546921E+02,0.12781635E+02
%
  0.235000000E+02,0.61510974E+02,0.12780755E+02
%
  0.237500000E+02,0.61474798E+02,0.12779868E+02
%
  0.240000000E+02,0.61438404E+02,0.12778974E+02
%
  0.242500000E+02,0.61401803E+02,0.12778074E+02
%
  0.245000000E+02,0.61365004E+02,0.12777168E+02
%
  0.247500000E+02,0.61328017E+02,0.12776257E+02
%
  0.250000000E+02,0.61290851E+02,0.12775339E+02
%
  0.252500000E+02,0.61253515E+02,0.12774416E+02
%
  0.255000000E+02,0.61216016E+02,0.12773488E+02
%
  0.257500000E+02,0.61178363E+02,0.12772555E+02
%
  0.260000000E+02,0.61140562E+02,0.12771617E+02
%
  0.262500000E+02,0.61102620E+02,0.12770674E+02
%
  0.265000000E+02,0.61064544E+02,0.12769726E+02
%
  0.267500000E+02,0.61026340E+02,0.12768774E+02
%
  0.270000000E+02,0.60988014E+02,0.12767817E+02
%
  0.272500000E+02,0.60949571E+02,0.12766856E+02
%
  0.275000000E+02,0.60911016E+02,0.12765891E+02
%
  0.277500000E+02,0.60872355E+02,0.12764922E+02
%
  0.280000000E+02,0.60833592E+02,0.12763949E+02
%
  0.282500000E+02,0.60794732E+02,0.12762972E+02
%
  0.285000000E+02,0.60755778E+02,0.12761991E+02
%
  0.287500000E+02,0.60716736E+02,0.12761007E+02
%
  0.290000000E+02,0.60677608E+02,0.12760019E+02
%
  0.292500000E+02,0.60638398E+02,0.12759028E+02
%
  0.295000000E+02,0.60599111E+02,0.12758033E+02
%
  0.297500000E+02,0.60559748E+02,0.12757035E+02
%
  0.300000000E+02,0.60520315E+02,0.12756034E+02
%
  0.302500000E+02,0.60480813E+02,0.12755030E+02
%
  0.305000000E+02,0.60441246E+02,0.12754022E+02
%
  0.307500000E+02,0.60401617E+02,0.12753012E+02
%
  0.310000000E+02,0.60361929E+02,0.12751999E+02
%
  0.312500000E+02,0.60322184E+02,0.12750983E+02
%
  0.315000000E+02,0.60282386E+02,0.12749964E+02
%
  0.317500000E+02,0.60242537E+02,0.12748942E+02
%
  0.320000000E+02,0.60202640E+02,0.12747918E+02
%
  0.322500000E+02,0.60162697E+02,0.12746892E+02
%
  0.325000000E+02,0.60122711E+02,0.12745862E+02
%
  0.327500000E+02,0.60082686E+02,0.12744831E+02
%
  0.330000000E+02,0.60042622E+02,0.12743797E+02
%
  0.332500000E+02,0.60002523E+02,0.12742760E+02
%
  0.335000000E+02,0.59962392E+02,0.12741722E+02
%
  0.337500000E+02,0.59922230E+02,0.12740681E+02
%
  0.340000000E+02,0.59882041E+02,0.12739638E+02
%
  0.342500000E+02,0.59841827E+02,0.12738593E+02
%
  0.345000000E+02,0.59801591E+02,0.12737547E+02
%
  0.347500000E+02,0.59761334E+02,0.12736498E+02
%
  0.350000000E+02,0.59721061E+02,0.12735447E+02
