"time","head","temp","pres"
0.302500000E+02,0.22369517E+04,0.47063398E+02,0.11376580E+02

0.305000000E+02,0.22369438E+04,0.47055830E+02,0.11376540E+02

0.307500000E+02,0.22369358E+04,0.47048284E+02,0.11376499E+02

0.310000000E+02,0.22369280E+04,0.47040760E+02,0.11376459E+02

0.312500000E+02,0.22369201E+04,0.47033258E+02,0.11376419E+02

0.315000000E+02,0.22369122E+04,0.47025776E+02,0.11376379E+02

0.317500000E+02,0.22369044E+04,0.47018316E+02,0.11376339E+02

0.320000000E+02,0.22368966E+04,0.47010877E+02,0.11376300E+02

0.322500000E+02,0.22368888E+04,0.47003459E+02,0.11376260E+02

0.325000000E+02,0.22368811E+04,0.46996061E+02,0.11376221E+02

0.327500000E+02,0.22368733E+04,0.46988684E+02,0.11376181E+02

0.330000000E+02,0.22368656E+04,0.46981326E+02,0.11376142E+02

0.332500000E+02,0.22368579E+04,0.46973989E+02,0.11376103E+02

0.335000000E+02,0.22368502E+04,0.46966672E+02,0.11376063E+02

0.337500000E+02,0.22368426E+04,0.46959374E+02,0.11376024E+02

0.340000000E+02,0.22368349E+04,0.46952095E+02,0.11375985E+02

0.342500000E+02,0.22368273E+04,0.46944836E+02,0.11375947E+02

0.345000000E+02,0.22368197E+04,0.46937596E+02,0.11375908E+02

0.347500000E+02,0.22368121E+04,0.46930375E+02,0.11375869E+02

0.350000000E+02,0.22368046E+04,0.46923173E+02,0.11375831E+02
